"gender","Age","Attitude","deep","stra","surf","Points"
"F",23,26,3.36363636363636,2.75,2.91666666666667,25
"F",23,23,2.63636363636364,2.375,3.25,21
"F",45,38,3.36363636363636,3.125,3.25,9
"F",22,28,3.5,4,2.33333333333333,28
"F",23,33,3.09090909090909,4,3.25,25
"M",21,48,4.09090909090909,2.25,2.5,29
"M",21,40,4.18181818181818,3.25,1.75,33
"F",21,40,4.13636363636364,3.625,2.25,33
"F",21,47,4,3.625,2.08333333333333,25
"F",26,23,2.72727272727273,2.5,2.83333333333333,18
"F",25,31,3.90909090909091,1.875,2.83333333333333,22
"F",26,27,3.09090909090909,2,2.41666666666667,17
"M",21,41,3.72727272727273,1.875,2.25,25
"F",23,34,3.40909090909091,4,2.83333333333333,28
"F",22,25,3.09090909090909,2.875,2.25,22
"F",22,21,1.81818181818182,3.875,1.83333333333333,26
"F",22,14,2.45454545454545,2.5,2.91666666666667,11
"F",23,19,3.22727272727273,2.75,2.91666666666667,29
"M",22,37,4.09090909090909,4.5,2.08333333333333,22
"M",23,32,4.09090909090909,3.375,2.33333333333333,21
"M",24,28,2.95454545454545,2.625,2.41666666666667,28
"F",22,41,3.5,4.125,2.75,33
"F",23,25,3.36363636363636,2.625,3.25,16
"M",22,28,3.5,2.25,1.75,31
"M",20,38,3.77272727272727,2.75,2.58333333333333,22
"M",22,31,3.09090909090909,3,3.33333333333333,31
"M",21,35,4.18181818181818,1.625,2.83333333333333,23
"F",22,36,3.95454545454545,1.875,2.5,26
"F",23,26,3.45454545454545,3.375,2.41666666666667,12
"M",21,44,4.40909090909091,3.75,2.41666666666667,26
"M",22,45,4.13636363636364,2.125,2.58333333333333,31
"M",29,32,3.27272727272727,2.375,3,19
"F",29,39,3.5,2.75,2,30
"F",21,25,2.86363636363636,3.125,3.41666666666667,12
"M",28,33,3.59090909090909,3.5,2.83333333333333,17
"F",21,33,3.81818181818182,2.625,2.25,18
"F",30,30,3.45454545454545,3.375,2.75,19
"F",21,29,3.31818181818182,2.25,3.91666666666667,21
"M",23,33,3.59090909090909,3,2.33333333333333,24
"F",21,33,3.59090909090909,4,2.75,28
"F",21,35,3.68181818181818,3.5,2.75,17
"F",20,36,3.63636363636364,2.625,2.91666666666667,18
"M",22,37,4.04545454545455,2.5,2.08333333333333,17
"M",21,42,3.95454545454545,3.75,3.66666666666667,23
"M",21,32,3.72727272727273,3.625,2.83333333333333,26
"F",20,50,4.45454545454545,4.125,3.41666666666667,28
"M",22,47,4.31818181818182,4.375,1.58333333333333,31
"F",20,36,4.13636363636364,2.625,2.91666666666667,27
"F",20,36,3.63636363636364,4,3,25
"M",24,29,3.31818181818182,2.75,2.91666666666667,23
"F",20,35,3.68181818181818,2.75,2.66666666666667,21
"F",19,40,3.22727272727273,1.375,3,27
"F",21,35,3.5,2.25,2.75,28
"F",21,32,3.13636363636364,3.625,3.08333333333333,23
"F",22,26,3.5,3.75,2.5,21
"F",25,20,2.63636363636364,4,2.33333333333333,25
"F",21,27,2.90909090909091,3.125,3,11
"F",22,32,3.72727272727273,3.25,3,19
"F",25,33,2.72727272727273,2.125,4,24
"F",20,39,3.59090909090909,2.875,3.25,28
"M",24,33,3.18181818181818,1.5,3.5,21
"F",20,30,2.86363636363636,2.5,3.5,24
"M",21,37,3.45454545454545,3.25,3.83333333333333,24
"F",20,25,3.31818181818182,3.625,2.91666666666667,20
"F",20,29,3.27272727272727,3.875,2.16666666666667,19
"M",31,39,4,3.875,1.66666666666667,30
"F",20,36,3.95454545454545,2.375,2.08333333333333,22
"F",22,29,3.18181818181818,3,2.83333333333333,16
"F",22,21,2.63636363636364,3.375,3.41666666666667,16
"M",21,31,3.31818181818182,2.75,3.33333333333333,19
"M",22,40,3.81818181818182,4.5,2.58333333333333,30
"F",21,31,3.72727272727273,2.625,2.83333333333333,23
"F",21,23,3.36363636363636,2.75,3.33333333333333,19
"F",21,28,3.36363636363636,3.25,3,18
"F",21,37,4.09090909090909,4.125,2.58333333333333,28
"F",20,26,3.09090909090909,3.375,2.41666666666667,21
"F",21,24,3.04545454545455,2.75,3.58333333333333,19
"F",25,30,3.36363636363636,4.125,2.08333333333333,27
"M",21,28,2.40909090909091,3.25,4.33333333333333,24
"F",24,29,3.63636363636364,2.875,2.66666666666667,21
"F",20,24,3.04545454545455,2.875,3,20
"M",21,31,3.59090909090909,2.375,2.66666666666667,28
"F",20,19,2.68181818181818,3.875,2.16666666666667,12
"F",20,20,2.81818181818182,2.125,2.66666666666667,21
"F",18,38,3.45454545454545,4,2.25,28
"F",21,34,3.5,3.25,2.66666666666667,31
"F",19,37,3.54545454545455,2.625,3.33333333333333,18
"F",21,29,3.63636363636364,2.75,3.5,25
"F",20,23,2.81818181818182,4,2.75,19
"M",21,41,4.27272727272727,3,2,21
"F",20,27,3,3.375,2.83333333333333,16
"F",21,35,3.72727272727273,3.875,3.5,7
"F",20,34,3.5,3.25,2.5,21
"F",18,32,3.90909090909091,3.375,3.16666666666667,17
"M",22,33,3.45454545454545,4.125,3.08333333333333,22
"F",22,33,3.5,3.5,2.91666666666667,18
"M",24,35,3,2,3.16666666666667,25
"F",19,32,3.72727272727273,3.625,2.5,24
"F",20,31,3.18181818181818,3.375,3.83333333333333,23
"F",20,28,3.63636363636364,2.125,2.25,23
"F",17,17,2.90909090909091,4.625,3.41666666666667,26
"M",19,19,2.31818181818182,2.5,3.75,12
"F",20,35,3.27272727272727,2.875,3,32
"F",20,24,3.13636363636364,2.75,2.58333333333333,22
"F",20,21,3.22727272727273,4,3.33333333333333,20
"F",20,29,3.59090909090909,2.375,2.83333333333333,21
"F",19,19,2.63636363636364,3.875,3,23
"F",19,20,3.13636363636364,3.375,2.83333333333333,20
"F",22,42,3.5,1.75,3.16666666666667,28
"M",35,41,3.95454545454545,3,2.75,31
"F",18,37,3.40909090909091,2.625,3.41666666666667,18
"F",19,36,3.5,2.625,3,30
"M",21,18,3.04545454545455,3.375,2.66666666666667,19
